SPD_0266 	 SPD_0267
SPD_0266 	 ribD
SPD_0266 	 ribH
SPD_0266 	 ribE
SPD_0376 	 SPD_0262
SPD_0376 	 SPD_0377
SPD_0376 	 manL
SPD_0376 	 manM
SPD_0981 	 cglC
SPD_0981 	 SPD_0978
SPD_0981 	 SPD_0984
SPD_0981 	 SPD_0979
SPD_0981 	 prs2
SPD_0981 	 nadK
SPD_0981 	 SPD_1854
SPD_0981 	 SPD_0982
recX 	 recJ
recX 	 SPD_1706
recX 	 cinA
recX 	 recA
recX 	 SPD_0961
recX 	 polA
recX 	 SPD_0489
gidB 	 rsmI
gidB 	 trmE
gidB 	 rnpA
gidB 	 htpX
gidB 	 gidA
gidB 	 rlmH
gidB 	 mraW
SPD_0361 	 SPD_0280
SPD_0361 	 mtlA2
SPD_0361 	 mtlA
SPD_0361 	 mtlD
Endo-beta-N-acetylglucosaminidase 	 SPD_0090
Endo-beta-N-acetylglucosaminidase 	 SPD_0156
Endo-beta-N-acetylglucosaminidase 	 SPD_1971
Endo-beta-N-acetylglucosaminidase 	 SPD_1376
Endo-beta-N-acetylglucosaminidase 	 SPD_1969
tsf 	 rplC
tsf 	 rplF
tsf 	 rplA
tsf 	 rpsS
tsf 	 frr
tsf 	 rpsC
tsf 	 rplU
tsf 	 rplP
tsf 	 rplV
tsf 	 fusA
tsf 	 rpsJ
tsf 	 rplK
tsf 	 tuf
tsf 	 rplD
tsf 	 rpsM
tsf 	 rpsI
tsf 	 rpsB
tsf 	 rplB
tsf 	 rpsE
tsf 	 rplM
SPD_0134 	 SPD_1743
SPD_0134 	 tsaD
plsY 	 der
plsY 	 SPD_1437
plsY 	 glpK
plsY 	 gpsA
plsY 	 plsX
plsY 	 glpO
plsY 	 parE
comA 	 comB
SPD_1495 	 SPD_1493
SPD_1495 	 SPD_1492
SPD_1495 	 SPD_1494
SPD_1495 	 rpsC
SPD_1495 	 amiA
spr0468 	 spr0469
spr0468 	 spr0467
spr0468 	 spr0466
spr0468 	 comB
galK 	 galT-1
galK 	 SPD_1648
galK 	 galE-2
galK 	 bgaA
galK 	 galT-2
galK 	 galR
galK 	 galM
galK 	 galE-1
galK 	 galU
potC 	 potD
potC 	 potH
potC 	 murB
ruvB 	 birA
ruvB 	 recN
ruvB 	 polA
ruvB 	 celB
ruvB 	 ribD
ruvB 	 recR
ruvB 	 recG
ruvB 	 recJ
ruvB 	 radA
ruvB 	 uvrB
ruvB 	 hexB
ruvB 	 mfd
ruvB 	 ruvA
ruvB 	 uppS
ruvB 	 obg
ruvB 	 recA
cbpA 	 ply
cbpA 	 nanA
cbpA 	 phtD
pmrA 	 coaE
pmrA 	 mutM
pmrA 	 tehB
pmrA 	 ybeY
pmrA 	 era
SPD_0286 	 msrAB2
SPD_0286 	 msrAB1
SPD_0286 	 gor
SPD_0286 	 trxB
SPD_0662 	 malQ
SPD_0662 	 amy
SPD_0662 	 nplT
SPD_0662 	 malR
SPD_0662 	 exp5
SPD_0802 	 SPD_1331
SPD_0802 	 aga
SPD_0802 	 rpoB
SPD_0802 	 dinG
SPD_0802 	 rpoA
SPD_0802 	 rpoC
SPD_0802 	 rpoZ
SPD_0815 	 guaA
SPD_0815 	 lys1
SPD_0815 	 SPD_0905
SPD_0815 	 nspC
SPD_0815 	 cdd-1
SPD_0815 	 pepN
SPD_0815 	 aguA
SPD_0815 	 speE
SPD_0815 	 SPD_1895
spr1886 	 spr0818
spr1886 	 gltX
SPD_0138 	 SPD_1620
SPD_0138 	 SPD_0140
SPD_0138 	 SPD_0142
SPD_0138 	 SPD_0139
SPD_0138 	 SPD_0098
SPD_0138 	 glgB
spr0566 	 aliA
ciaH 	 pepN
ciaH 	 vncR
ciaH 	 ciaR
ciaH 	 vncS
def-2 	 fmt
comB 	 comD
comB 	 SPD_1017
comB 	 comA
atpF 	 rpsH
atpF 	 rpsM
